"","X","Length","Width","MeanThick","Max_Thick","Weight","Surface.Plat","Platfom_Depth","Cortex","No_Scars","Termination_type","EPA","Log_Weight","Log_Max_Thick","Log_Plat","Log_Plat_De"
"190",190,68.9,46.3,6.16666666666667,7.8,18.33,11.9,2.8,4,6,"Feather",91,1.26316246496222,0.89209460269048,1.07554696139253,0.447158031342219
"191",191,54.5,41.7,9.3,11.7,25.87,132.145,10.7,3,3,"Feather",80,1.41279642871654,1.06818586174616,2.12105073528089,1.02938377768521
"192",192,32.5,32.4,4.33333333333333,7,4.53,125.56160438235,7.3,5,4,"Feather",70,0.656098202012832,0.845098040014257,2.09885685632675,0.863322860120456
"193",193,44.6,45.2,7.66666666666667,11.3,15.13,89.03,5.8,2,1,"Feather",78,1.17983892802319,1.05307844348342,1.94953637337614,0.763427993562937
"194",194,40.1,46.6,8.46666666666667,11.6,16.15,169.75,9.7,3,2,"Feather",85,1.20817252666712,1.06445798922692,2.22980978295254,0.986771734266245
"195",195,61.8,35,8.73333333333333,11.7,19.01,40.95,3.5,3,2,"Feather",71,1.27898211686544,1.06818586174616,1.61225390609644,0.544068044350276
"196",196,31.6,44.3,6.2,7.6,9.74,18.45,3,1,0,"Feather",85,0.988558956878616,0.880813592280791,1.26599637049508,0.477121254719662
"197",197,64.7,60.5,7.13333333333333,10.1,23.87,118.752202305694,9,2,1,"Feather",74,1.37785241900675,1.00432137378264,2.07464167253136,0.954242509439325
"198",198,56.6,54.4,7,8.9,23.49,87.6504350351552,6.2,1,0,"Feather",75,1.37088301677761,0.949390006644913,1.94275407596773,0.792391689498254
"199",199,38.7,35.2,7.43333333333333,8.8,12.86,151.92,7.2,3,3,"Hinge",101,1.1092409685882,0.944482672150169,2.18161495172896,0.857332496431269
"200",200,65.4,52.1,5.06666666666667,8,18.59,13.56,2.4,4,3,"Hinge",88,1.2692793897719,0.903089986991944,1.13225968953104,0.380211241711606
"201",201,52.9,50,4.36666666666667,5.1,12.18,61.875,5.5,2,1,"Feather",75,1.08564728829686,0.707570176097936,1.79151521194163,0.740362689494244
"202",202,45.6,40.3,5.23333333333333,8.9,11.08,201.465,9.9,5,3,"Feather",75,1.04453976039241,0.949390006644913,2.30419960815879,0.99563519459755
"203",203,37.2,26.4,5.33333333333333,8,6.54,139.62,7.8,5,3,"Feather",80,0.815577748324267,0.903089986991944,2.14494763367037,0.89209460269048
"204",204,42.4,42.3,7.3,11,13.82,187.85,8.5,5,3,"Feather",81,1.14050804303818,1.04139268515823,2.2738111993994,0.929418925714293
"205",205,44,36.1,5.43333333333333,6.2,9.39,22.6194671058465,3.6,5,4,"Feather",92,0.972665592266111,0.792391689498254,1.3544823691254,0.556302500767287
"206",206,42.7,38.2,5.2,6.5,8,22.5,5,5,4,"Feather",91,0.903089986991944,0.812913356642856,1.35218251811136,0.698970004336019
"207",207,37,34.1,5.06666666666667,7.3,6.93,72.76,6.8,5,2,"Feather",90,0.840733234611807,0.863322860120456,1.86189269039145,0.832508912706236
"208",208,63.1,37.9,5.1,7.3,14.55,112.56,5.6,5,3,"Feather",85,1.16286299332193,0.863322860120456,2.05138408442669,0.7481880270062
"209",209,46.4,31.3,5.53333333333333,7.5,9.43,124.46,9.8,5,3,"Feather",72,0.974511692737328,0.8750612633917,2.09502979664845,0.991226075692495
"210",210,31.5,34.8,4.53333333333333,6.6,4.78,31.2,4.8,5,3,"Feather",75,0.679427896612119,0.819543935541869,1.49415459401844,0.681241237375587
"211",211,44.2,35.4,3.9,6,4.96,110.411273810413,6.6,5,2,"Feather",70,0.695481676490197,0.778151250383644,2.04301342034678,0.819543935541869
"212",212,39.5,44.1,4.86666666666667,7.3,9.14,71.82,5.4,5,4,"Feather",73,0.960946195733831,0.863322860120456,1.85624540079005,0.732393759822969
"213",213,27.4,31.5,2.9,4,2.73,13.1946891450771,2.4,5,3,"Feather",85,0.436162647040756,0.602059991327962,1.12039916309203,0.380211241711606
"214",214,33.2,26.4,1.8,2.3,1.82,9.848892969004,1.9,5,1,"Feather",89,0.260071387985075,0.361727836017593,0.993387417860869,0.278753600952829
"215",215,42.1,36.7,7.76666666666667,10.3,13.17,79.2,7.2,1,0,"Feather",55,1.11958577496178,1.01283722470517,1.89872518158949,0.857332496431269
"216",216,41.5,41.3,6.23333333333333,8.4,12.22,39.78,5.2,2,1,"Feather",56,1.08707120590654,0.924279286061882,1.59966477878842,0.716003343634799
"217",217,44.6,37.3,3.33333333333333,3.7,6.6,22.14,3.6,3,3,"Feather",85,0.819543935541869,0.568201724066995,1.3451776165427,0.556302500767287
"218",218,31.9,33.5,4.9,6.6,5.22,85.14,6.6,2,2,"Feather",88,0.717670503002262,0.819543935541869,1.93013364584112,0.819543935541869
"219",219,33,36.1,6.03333333333333,7.2,8.76,9.07134878724053,2.1,2,1,"Hinge",58,0.942504106168081,0.857332496431269,0.957671865594335,0.322219294733919
"220",220,33.8,32.1,7,8.5,7.88,55.44,4.8,2,2,"Feather",39,0.896526217489555,0.929418925714293,1.74382322160375,0.681241237375587
